state,maxpreps_city,maxpreps_slug,maxpreps_name,maxpreps_nickname,massey_name,conference,p_source,years_found,weight_sum,raw_p,prestige_final
oh,broadview-heights,brecksville-broadview-heights-bees,Brecksville-Broadview Heights,Bees,,Division II,maxpreps,0,,0.5924,78
oh,cincinnati,winton-woods-warriors,Winton Woods,Warriors,,Division II,maxpreps,0,,0.5764,77
oh,lima,lima-senior-spartans,Lima Senior,Spartans,,Division II,maxpreps,0,,0.5787,77
oh,north-royalton,north-royalton-bears,North Royalton,Bears,,Division II,maxpreps,0,,0.6976,87
oh,pataskala,licking-heights-hornets,Licking Heights,Hornets,,Division II,maxpreps,0,,0.4271,63
oh,toledo,st-johns-jesuit-titans,St. John's Jesuit,Titans,,Division II,maxpreps,0,,0.5735,76
oh,avon,avon-eagles,Avon,Eagles,,Division II,maxpreps,0,,0.4667,67
oh,medina,highland-hornets,Highland,Hornets,,Division II,maxpreps,0,,0.5209,72
oh,youngstown,austintown-fitch-falcons,Austintown-Fitch,Falcons,,Division II,maxpreps,0,,0.3913,60
oh,columbus,northland-vikings,Northland,Vikings,,Division II,maxpreps,0,,0.4569,66
oh,hudson,hudson-explorers,Hudson,Explorers,,Division II,maxpreps,0,,0.4784,68
oh,north-canton,hoover-vikings,Hoover,Vikings,,Division II,maxpreps,0,,0.4425,65
oh,olmsted-falls,olmsted-falls-bulldogs,Olmsted Falls,Bulldogs,,Division II,maxpreps,0,,0.5289,72
oh,euclid,euclid-panthers,Euclid,Panthers,,Division II,maxpreps,0,,0.5744,76
oh,trenton,edgewood-cougars,Edgewood,Cougars,,Division II,maxpreps,0,,0.3775,59
oh,new-albany,new-albany-eagles,New Albany,Eagles,,Division II,maxpreps,0,,0.4811,68
oh,clayton,northmont-thunderbolts,Northmont,Thunderbolts,,Division II,maxpreps,0,,0.4109,62
oh,painesville,riverside-beavers,Riverside,Beavers,,Division II,maxpreps,0,,0.4336,64
oh,whitehouse,anthony-wayne-generals,Anthony Wayne,Generals,,Division II,maxpreps,0,,0.4211,63
oh,lakewood,lakewood-rangers,Lakewood,Rangers,,Division II,maxpreps,0,,0.4153,62
oh,sylvania,northview-wildcats,Northview,Wildcats,,Division II,maxpreps,0,,0.3365,55
oh,mayfield,mayfield-kansas,Mayfield,Kansas,,Division II,maxpreps,0,,0.3374,55
oh,sunbury,big-walnut-golden-eagles,Big Walnut,Golden Eagles,,Division II,maxpreps,0,,0.4476,65
oh,steubenville,steubenville-big-red,Steubenville,Big Red,,Division III,maxpreps,0,,0.6236,81
oh,hamilton,badin-rams,Badin,Rams,,Division III,maxpreps,0,,0.6696,85
oh,alliance,alliance-aviators,Alliance,Aviators,,Division III,maxpreps,0,,0.4872,69
oh,toledo,central-catholic-irish,Central Catholic,Irish,,Division III,maxpreps,0,,0.6527,83
oh,trotwood,trotwood-madison-rams,Trotwood-Madison,Rams,,Division III,maxpreps,0,,0.5258,72
oh,youngstown,chaney-cowboys,Chaney,Cowboys,,Division III,maxpreps,0,,0.5032,70
oh,goshen,goshen-warriors,Goshen,Warriors,,Division III,maxpreps,0,,0.4549,66
oh,chagrin-falls,kenston-bombers,Kenston,Bombers,,Division III,maxpreps,0,,0.4698,67
oh,jackson,jackson-ironman-ironladies,Jackson,Ironman Ironladies,,Division III,maxpreps,0,,0.4084,62
oh,columbus,centennial-stars,Centennial,Stars,,Division III,maxpreps,0,,0.4124,62
oh,akron,garfield-community-learning-center-golden-rams,Garfield Community Learning Center,Golden Rams,,Division III,maxpreps,0,,0.5145,71
oh,washington-court-house,miami-trace-panthers,Miami Trace,Panthers,,Division III,maxpreps,0,,0.6027,79
oh,marietta,marietta-tigers,Marietta,Tigers,,Division III,maxpreps,0,,0.5427,74
oh,cuyahoga-falls,cuyahoga-valley-christian-academy-royals,Cuyahoga Valley Christian Academy,Royals,,Division III,maxpreps,0,,0.4793,68
oh,monroe,monroe-hornets,Monroe,Hornets,,Division III,maxpreps,0,,0.4603,66
oh,columbus,south-bulldogs,South,Bulldogs,,Division III,maxpreps,0,,0.3138,53
oh,columbus,bishop-hartley-hawks,Bishop Hartley,Hawks,,Division III,maxpreps,0,,0.5720,76
oh,columbus,bishop-watterson-eagles,Bishop Watterson,Eagles,,Division III,maxpreps,0,,0.5684,76
oh,tipp-city,tippecanoe-red-devils,Tippecanoe,Red Devils,,Division III,maxpreps,0,,0.3946,60
oh,cincinnati,hughes-big-red,Hughes,Big Red,,Division III,maxpreps,0,,0.5144,71
oh,gates-mills,hawken-hawks,Hawken,Hawks,,Division III,maxpreps,0,,0.6047,79
oh,lima,shawnee-indians,Shawnee,Indians,,Division III,maxpreps,0,,0.4655,67
oh,youngstown,ursuline-fighting-irish,Ursuline,Fighting Irish,,Division III,maxpreps,0,,0.5504,74
oh,batavia,batavia-bulldogs,Batavia,Bulldogs,,Division III,maxpreps,0,,0.4005,61
oh,cincinnati,la-salle-lancers,La Salle,Lancers,,Division III,maxpreps,0,,0.5150,71
oh,cincinnati,wyoming-cowboys,Wyoming,Cowboys,,Division IV,maxpreps,0,,0.5321,73
oh,zanesville,maysville-panthers,Maysville,Panthers,,Division IV,maxpreps,0,,0.5534,75
oh,dayton,northridge-polar-bears,Northridge,Polar Bears,,Division IV,maxpreps,0,,0.5876,78
oh,new-concord,john-glenn-muskies,John Glenn,Muskies,,Division IV,maxpreps,0,,0.5942,78
oh,sandusky,perkins-pirates,Perkins,Pirates,,Division IV,maxpreps,0,,0.5363,73
oh,circleville,circleville-tigers,Circleville,Tigers,,Division IV,maxpreps,0,,0.4907,69
oh,norton,norton-panthers,Norton,Panthers,,Division IV,maxpreps,0,,0.3854,59
oh,cambridge,cambridge-bobcats,Cambridge,Bobcats,,Division IV,maxpreps,0,,0.5243,72
oh,canfield,canfield-cardinals,Canfield,Cardinals,,Division IV,maxpreps,0,,0.4871,69
oh,urbana,urbana-hillclimbers,Urbana,Hillclimbers,,Division IV,maxpreps,0,,0.4791,68
oh,chillicothe,unioto-shermans,Unioto,Shermans,,Division IV,maxpreps,0,,0.5398,73
oh,dayton,dunbar-wolverines,Dunbar,Wolverines,,Division IV,maxpreps,0,,0.4743,67
oh,plain-city,jonathan-alder-pioneers,Jonathan Alder,Pioneers,,Division IV,maxpreps,0,,0.5868,77
oh,caledonia,river-valley-vikings,River Valley,Vikings,,Division IV,maxpreps,0,,0.3808,59
oh,heath,heath-bulldogs,Heath,Bulldogs,,Division IV,maxpreps,0,,0.4304,64
oh,johnstown,johnstown-monroe-johnnies,Johnstown-Monroe,Johnnies,,Division IV,maxpreps,0,,0.4359,64
oh,millbury,lake-flyers,Lake,Flyers,,Division IV,maxpreps,0,,0.2868,51
oh,sheffield,brookside-cardinals,Brookside,Cardinals,,Division IV,maxpreps,0,,0.3743,58
oh,orrville,orrville-red-riders,Orrville,Red Riders,,Division IV,maxpreps,0,,0.3623,57
oh,van-wert,van-wert-cougars,Van Wert,Cougars,,Division IV,maxpreps,0,,0.4565,66
oh,dayton,archbishop-alter-knights,Archbishop Alter,Knights,,Division IV,maxpreps,0,,0.6288,81
oh,cincinnati,taft-senators,Taft,Senators,,Division IV,maxpreps,0,,0.5213,72
oh,lisbon,beaver-local-beavers,Beaver Local,Beavers,,Division IV,maxpreps,0,,0.3863,60
oh,tontogany,otsego-knights,Otsego,Knights,,Division IV,maxpreps,0,,0.4137,62
oh,cleveland,cleveland-central-catholic-ironmen,Cleveland Central Catholic,Ironmen,,Division IV,maxpreps,0,,0.4713,67
oh,genoa,genoa-area-comets,Genoa Area,Comets,,Division V,maxpreps,0,,0.5364,73
oh,williamsburg,williamsburg-wildcats,Williamsburg,Wildcats,,Division V,maxpreps,0,,0.4114,62
oh,fredericktown,fredericktown-freddies,Fredericktown,Freddies,,Division V,maxpreps,0,,0.4037,61
oh,cleveland-heights,lutheran-east-falcons,Lutheran East,Falcons,,Division V,maxpreps,0,,0.7825,95
oh,waynesville,waynesville-spartans,Waynesville,Spartans,,Division V,maxpreps,0,,0.5069,70
oh,ironton,ironton-fighting-tigers,Ironton,Fighting Tigers,,Division V,maxpreps,0,,0.4640,67
oh,milford-center,fairbanks-panthers,Fairbanks,Panthers,,Division V,maxpreps,0,,0.4864,69
oh,castalia,margaretta-polar-bears,Margaretta,Polar Bears,,Division V,maxpreps,0,,0.4362,64
oh,sardinia,eastern-warriors,Eastern,Warriors,,Division V,maxpreps,0,,0.4608,66
oh,cincinnati,north-college-hill-trojans,North College Hill,Trojans,,Division V,maxpreps,0,,0.3888,60
oh,west-liberty,west-liberty-salem-tigers,West Liberty-Salem,Tigers,,Division V,maxpreps,0,,0.3547,57
oh,chesapeake,chesapeake-panthers,Chesapeake,Panthers,,Division V,maxpreps,0,,0.5504,74
oh,gahanna,columbus-academy-vikings,Columbus Academy,Vikings,,Division V,maxpreps,0,,0.5356,73
oh,chagrin-falls,chagrin-falls-tigers,Chagrin Falls,Tigers,,Division V,maxpreps,0,,0.4275,63
oh,columbus,africentric-early-college-nubians,Africentric Early College,Nubians,,Division V,maxpreps,0,,0.4928,69
oh,camden,preble-shawnee-arrows,Preble Shawnee,Arrows,,Division V,maxpreps,0,,0.3110,53
oh,paulding,paulding-panthers,Paulding,Panthers,,Division V,maxpreps,0,,0.4258,63
oh,zanesville,west-muskingum-tornadoes,West Muskingum,Tornadoes,,Division V,maxpreps,0,,0.3837,59
oh,ravenna,southeast-pirates,Southeast,Pirates,,Division V,maxpreps,0,,0.2344,46
oh,wellston,wellston-golden-rockets,Wellston,Golden Rockets,,Division V,maxpreps,0,,0.3075,53
oh,willard,willard-crimson-flashes,Willard,Crimson Flashes,,Division V,maxpreps,0,,0.3597,57
oh,akron,manchester-panthers,Manchester,Panthers,,Division V,maxpreps,0,,0.3754,59
oh,arcanum,arcanum-trojans,Arcanum,Trojans,,Division V,maxpreps,0,,0.3544,57
oh,chillicothe,zane-trace-pioneers,Zane Trace,Pioneers,,Division V,maxpreps,0,,0.4445,65
oh,la-grange,keystone-wildcats,Keystone,Wildcats,,Division V,maxpreps,0,,0.4118,62
oh,new-madison,tri-village-patriots,Tri-Village,Patriots,,Division VI,maxpreps,0,,0.5785,77
oh,maria-stein,marion-local-flyers,Marion Local,Flyers,,Division VI,maxpreps,0,,0.5827,77
oh,springfield,emmanuel-christian-academy-lions,Emmanuel Christian Academy,Lions,,Division VI,maxpreps,0,,0.3180,53
oh,berlin,hiland-hawks,Hiland,Hawks,,Division VI,maxpreps,0,,0.4281,63
oh,north-robinson,colonel-crawford-eagles,Colonel Crawford,Eagles,,Division VI,maxpreps,0,,0.4618,66
oh,kirtland,kirtland-hornets,Kirtland,Hornets,,Division VI,maxpreps,0,,0.4764,68
oh,gibsonburg,gibsonburg-golden-bears,Gibsonburg,Golden Bears,,Division VI,maxpreps,0,,0.3507,56
oh,van-buren,van-buren-black-knights,Van Buren,Black Knights,,Division VI,maxpreps,0,,0.4064,61
oh,lore-city,buckeye-trail-warriors,Buckeye Trail,Warriors,,Division VI,maxpreps,0,,0.3895,60
oh,peebles,peebles-indians,Peebles,Indians,,Division VI,maxpreps,0,,0.3670,58
oh,toronto,toronto-red-knights,Toronto,Red Knights,,Division VI,maxpreps,0,,0.3642,58
oh,orwell,grand-valley-mustangs,Grand Valley,Mustangs,,Division VI,maxpreps,0,,0.3278,54
oh,van-wert,lincolnview-lancers,Lincolnview,Lancers,,Division VI,maxpreps,0,,0.4540,66
oh,woodsfield,monroe-central-seminoles,Monroe Central,Seminoles,,Division VI,maxpreps,0,,0.5806,77
oh,columbus,grandview-heights-bobcats,Grandview Heights,Bobcats,,Division VI,maxpreps,0,,0.2915,51
oh,hamler,patrick-henry-patriots,Patrick Henry,Patriots,,Division VI,maxpreps,0,,0.4249,63
oh,troy,troy-christian-eagles,Troy Christian,Eagles,,Division VI,maxpreps,0,,0.2897,51
oh,smithville,smithville-smithies,Smithville,Smithies,,Division VI,maxpreps,0,,0.3703,58
oh,columbus,tree-of-life-christian-trojans,Tree of Life Christian,Trojans,,Division VI,maxpreps,0,,0.2754,50
oh,hartville,lake-center-christian-tiger,Lake Center Christian,Tiger,,Division VI,maxpreps,0,,0.3491,56
oh,west-portsmouth,portsmouth-west-senators,Portsmouth West,Senators,,Division VI,maxpreps,0,,0.4458,65
oh,attica,seneca-east-tigers,Seneca East,Tigers,,Division VI,maxpreps,0,,0.3046,52
oh,st-henry,st-henry-redskins,St. Henry,Redskins,,Division VI,maxpreps,0,,0.4582,66
oh,lucasville,valley-indians,Valley,Indians,,Division VI,maxpreps,0,,0.3849,59
oh,columbus-grove,columbus-grove-bulldogs,Columbus Grove,Bulldogs,,Division VI,maxpreps,0,,0.4717,67
oh,delphos,st-johns-bluejays,St. John's,Bluejays,,Division VII,maxpreps,0,,0.5547,75
oh,plain-city,shekinah-christian-flames,Shekinah Christian,Flames,,Division VII,maxpreps,0,,0.3576,57
oh,mcdonald,mcdonald-blue-devils,McDonald,Blue Devils,,Division VII,maxpreps,0,,0.2981,52
oh,montpelier,montpelier-locomotives,Montpelier,Locomotives,,Division VII,maxpreps,0,,0.4258,63
oh,racine,southern-tornadoes,Southern,Tornadoes,,Division VII,maxpreps,0,,0.3396,55
oh,fairport-harbor,harding-skippers,Harding,Skippers,,Division VII,maxpreps,0,,0.3061,52
oh,botkins,botkins-trojans,Botkins,Trojans,,Division VII,maxpreps,0,,0.4736,67
oh,arlington,arlington-red-devils,Arlington,Red Devils,,Division VII,maxpreps,0,,0.5291,72
oh,danville,danville-blue-devils,Danville,Blue Devils,,Division VII,maxpreps,0,,0.2818,50
oh,cedarville,cedarville-indians,Cedarville,Indians,,Division VII,maxpreps,0,,0.3255,54
oh,columbiana,heartland-christian-lions,Heartland Christian,Lions,,Division VII,maxpreps,0,,0.3597,57
oh,sandusky,st-mary-central-catholic-panthers,St. Mary Central Catholic,Panthers,,Division VII,maxpreps,0,,0.2689,49
oh,cincinnati,miami-valley-christian-academy-lions,Miami Valley Christian Academy,Lions,,Division VII,maxpreps,0,,0.4273,63
oh,sidney,lehman-catholic-cavaliers,Lehman Catholic,Cavaliers,,Division VII,maxpreps,0,,0.4238,63
oh,miller-city,miller-city-wildcats,Miller City,Wildcats,,Division VII,maxpreps,0,,0.4238,63
oh,portsmouth,notre-dame-titans,Notre Dame,Titans,,Division VII,maxpreps,0,,0.3384,55
oh,fayetteville,fayetteville-perry-rockets,Fayetteville-Perry,Rockets,,Division VII,maxpreps,0,,0.3452,56
oh,monroeville,monroeville-eagles,Monroeville,Eagles,,Division VII,maxpreps,0,,0.3004,52
oh,zanesville,bishop-rosecrans-bishops,Bishop Rosecrans,Bishops,,Division VII,maxpreps,0,,0.2707,49
oh,leesburg,fairfield-lions,Fairfield,Lions,,Division VII,maxpreps,0,,0.3914,60
oh,jeromesville,hillsdale-falcons,Hillsdale,Falcons,,Division VII,maxpreps,0,,0.4057,61
oh,westerville,genoa-christian-academy-lions,Genoa Christian Academy,Lions,,Division VII,maxpreps,0,,0.2845,50
oh,minster,minster-wildcats,Minster,Wildcats,,Division VII,maxpreps,0,,0.5024,70
oh,tiffin,calvert-senecas,Calvert,Senecas,,Division VII,maxpreps,0,,0.3409,55
oh,kidron,central-christian-comets,Central Christian,Comets,,Division VII,maxpreps,0,,0.2403,46
oh,akron,garfield-community-learning-center-golden-rams,Garfield Community Learning Center,Golden Rams,,Akron City,maxpreps,0,,0.5145,71
oh,akron,ellet-orangement,Ellet,Orangement,,Akron City,maxpreps,0,,0.3858,60
oh,akron,buchtel-griffins,Buchtel,Griffins,,Akron City,maxpreps,0,,0.4254,63
oh,akron,firestone-falcons,Firestone,Falcons,,Akron City,maxpreps,0,,0.1696,40
oh,akron,east-dragons,East,Dragons,,Akron City,maxpreps,0,,0.1611,39
oh,akron,north-vikings,North,Vikings,,Akron City,maxpreps,0,,0.1664,40
oh,canfield,canfield-cardinals,Canfield,Cardinals,,All-American,maxpreps,0,,0.4871,69
oh,youngstown,austintown-fitch-falcons,Austintown-Fitch,Falcons,,All-American,maxpreps,0,,0.3913,60
oh,warren,howland-tigers,Howland,Tigers,,All-American,maxpreps,0,,0.3753,59
oh,warren,harding-raiders,Harding,Raiders,,All-American,maxpreps,0,,0.4311,64
oh,youngstown,boardman-spartans,Boardman,Spartans,,All-American,maxpreps,0,,0.3178,53
oh,van-buren,van-buren-black-knights,Van Buren,Black Knights,,Blanchard Valley,maxpreps,0,,0.4064,61
oh,arlington,arlington-red-devils,Arlington,Red Devils,,Blanchard Valley,maxpreps,0,,0.5291,72
oh,findlay,liberty-benton-eagles,Liberty-Benton,Eagles,,Blanchard Valley,maxpreps,0,,0.3794,59
oh,arcadia,arcadia-redskins,Arcadia,Redskins,,Blanchard Valley,maxpreps,0,,0.2343,46
oh,ada,ada-bulldogs,Ada,Bulldogs,,Blanchard Valley,maxpreps,0,,0.3163,53
oh,mt-blanchard,riverdale-falcons,Riverdale,Falcons,,Blanchard Valley,maxpreps,0,,0.2466,47
oh,bloomdale,elmwood-royals,Elmwood,Royals,,Blanchard Valley,maxpreps,0,,0.1128,35
oh,mccomb,mccomb-panthers,McComb,Panthers,,Blanchard Valley,maxpreps,0,,0.0559,30
oh,leipsic,leipsic-vikings,Leipsic,Vikings,,Blanchard Valley,maxpreps,0,,0.3137,53
oh,vanlue,vanlue-wildcats,Vanlue,Wildcats,,Blanchard Valley,od_fallback,0,,0.1264,36
oh,lisbon,beaver-local-beavers,Beaver Local,Beavers,,Buckeye 8,maxpreps,0,,0.3863,60
oh,st-clairsville,st-clairsville-red-devils,St. Clairsville,Red Devils,,Buckeye 8,maxpreps,0,,0.4554,66
oh,martins-ferry,martins-ferry-purple-riders,Martins Ferry,Purple Riders,,Buckeye 8,maxpreps,0,,0.3959,60
oh,east-liverpool,east-liverpool-potters,East Liverpool,Potters,,Buckeye 8,maxpreps,0,,0.3354,55
oh,richmond,edison-wildcats,Edison,Wildcats,,Buckeye 8,maxpreps,0,,0.1213,36
oh,belmont,union-local-jets,Union Local,Jets,,Buckeye 8,maxpreps,0,,0.3177,53
oh,rayland,buckeye-local-panthers,Buckeye Local,Panthers,,Buckeye 8,od_fallback,0,,0.2150,44
oh,wintersville,indian-creek-redskins,Indian Creek,Redskins,,Buckeye 8,maxpreps,0,,0.1594,39
oh,cadiz,harrison-central-huskies,Harrison Central,Huskies,,Buckeye 8,maxpreps,0,,0.1645,40
oh,bellaire,bellaire-big-reds,Bellaire,Big Reds,,Buckeye 8,maxpreps,0,,0.3052,52
oh,montpelier,montpelier-locomotives,Montpelier,Locomotives,,Buckeye Border,maxpreps,0,,0.4258,63
oh,pettisville,pettisville-blackbirds,Pettisville,Blackbirds,,Buckeye Border,maxpreps,0,,0.3744,58
oh,edon,edon-bombers,Edon,Bombers,,Buckeye Border,maxpreps,0,,0.2853,51
oh,stryker,stryker-panthers,Stryker,Panthers,,Buckeye Border,maxpreps,0,,0.2285,45
oh,pioneer,north-central-eagles,North Central,Eagles,,Buckeye Border,maxpreps,0,,0.1679,40
oh,holgate,holgate-tigers,Holgate,Tigers,,Buckeye Border,maxpreps,0,,0.1010,34
oh,west-unity,hilltop-cadets,Hilltop,Cadets,,Buckeye Border,maxpreps,0,,0.0511,30
oh,fayette,gorham-fayette-eagles,Gorham Fayette,Eagles,,Buckeye Border,od_fallback,0,,0.0970,34
oh,gahanna,columbus-academy-vikings,Columbus Academy,Vikings,,Central Buckeye Conference,maxpreps,0,,0.5356,73
oh,columbus,bishop-ready-silver-knights,Bishop Ready,Silver Knights,,Central Buckeye Conference,maxpreps,0,,0.5068,70
oh,columbus,grandview-heights-bobcats,Grandview Heights,Bobcats,,Central Buckeye Conference,maxpreps,0,,0.2915,51
oh,worthington,worthington-christian-warriors,Worthington Christian,Warriors,,Central Buckeye Conference,maxpreps,0,,0.1811,41
oh,columbus,bexley-lions,Bexley,Lions,,Central Buckeye Conference,maxpreps,0,,0.2541,48
oh,delaware,buckeye-valley-barons,Buckeye Valley,Barons,,Central Buckeye Conference,maxpreps,0,,0.2388,46
oh,whitehall,whitehall-yearling-rams,Whitehall-Yearling,Rams,,Central Buckeye Conference,maxpreps,0,,0.1771,41
oh,columbus,franklin-heights-falcons,Franklin Heights,Falcons,,Central Buckeye Conference,maxpreps,0,,0.3534,57
oh,plain-city,jonathan-alder-pioneers,Jonathan Alder,Pioneers,,Central Buckeye Conference - Kenton Trail,maxpreps,0,,0.5868,77
oh,urbana,urbana-hillclimbers,Urbana,Hillclimbers,,Central Buckeye Conference - Kenton Trail,maxpreps,0,,0.4791,68
oh,bellefontaine,bellefontaine-chieftains,Bellefontaine,Chieftains,,Central Buckeye Conference - Kenton Trail,maxpreps,0,,0.3046,52
oh,springfield,kenton-ridge-cougars,Kenton Ridge,Cougars,,Central Buckeye Conference - Kenton Trail,maxpreps,0,,0.3729,58
oh,new-carlisle,tecumseh-arrows,Tecumseh,Arrows,,Central Buckeye Conference - Kenton Trail,maxpreps,0,,0.3132,53
oh,london,london-red-raiders,London,Red Raiders,,Central Buckeye Conference - Kenton Trail,maxpreps,0,,0.3384,55
oh,lewistown,indian-lake-lakers,Indian Lake,Lakers,,Central Buckeye Conference - Mad River,maxpreps,0,,0.4040,61
oh,springfield,shawnee-shawnee,Shawnee,Shawnee,,Central Buckeye Conference - Mad River,maxpreps,0,,0.2158,44
oh,richwood,north-union-wildcats,North Union,Wildcats,,Central Buckeye Conference - Mad River,maxpreps,0,,0.2544,48
oh,springfield,northwestern-warriors,Northwestern,Warriors,,Central Buckeye Conference - Mad River,maxpreps,0,,0.1712,40
oh,bellefontaine,benjamin-logan-raiders,Benjamin Logan,Raiders,,Central Buckeye Conference - Mad River,maxpreps,0,,0.0521,30
oh,st-paris,graham-local-falcons,Graham Local,Falcons,,Central Buckeye Conference - Mad River,maxpreps,0,,0.0493,29
oh,columbus,bishop-hartley-hawks,Bishop Hartley,Hawks,,Central Catholic,maxpreps,0,,0.5720,76
oh,columbus,bishop-watterson-eagles,Bishop Watterson,Eagles,,Central Catholic,maxpreps,0,,0.5684,76
oh,columbus,st-francis-desales-stallions,St. Francis DeSales,Stallions,,Central Catholic,maxpreps,0,,0.4978,70
oh,columbus,st-charles-cardinals,St. Charles,Cardinals,,Central Catholic,maxpreps,0,,0.3341,55
oh,gates-mills,hawken-hawks,Hawken,Hawks,,Chagrin Valley - Chagrin,maxpreps,0,,0.6047,79
oh,painesville,harvey-red-raiders,Harvey,Red Raiders,,Chagrin Valley - Chagrin,maxpreps,0,,0.2945,51
oh,perry,perry-pirates,Perry,Pirates,,Chagrin Valley - Chagrin,maxpreps,0,,0.3065,52
oh,chesterland,west-geauga-wolverines,West Geauga,Wolverines,,Chagrin Valley - Chagrin,maxpreps,0,,0.3411,56
oh,pepper-pike,orange-lions,Orange,Lions,,Chagrin Valley - Chagrin,maxpreps,0,,0.2437,47
oh,geneva,geneva-eagles,Geneva,Eagles,,Chagrin Valley - Lake,maxpreps,0,,0.2586,48
oh,madison,madison-blue-streaks,Madison,Blue Streaks,,Chagrin Valley - Lake,maxpreps,0,,0.2151,44
oh,ashtabula,lakeside-dragons,Lakeside,Dragons,,Chagrin Valley - Lake,maxpreps,0,,0.1288,37
oh,ashtabula,edgewood-warriors,Edgewood,Warriors,,Chagrin Valley - Lake,maxpreps,0,,0.1306,37
oh,jefferson,jefferson-area-falcons,Jefferson Area,Falcons,,Chagrin Valley - Lake,maxpreps,0,,0.2423,47
oh,conneaut,conneaut-spartans,Conneaut,Spartans,,Chagrin Valley - Lake,maxpreps,0,,0.0000,25
oh,fairview-park,fairview-warriors,Fairview,Warriors,,Chagrin Valley - Metro,maxpreps,0,,0.4576,66
oh,cleveland,cuyahoga-heights-red-wolves,Cuyahoga Heights,Red Wolves,,Chagrin Valley - Metro,maxpreps,0,,0.2775,50
oh,brooklyn,brooklyn-hurricanes,Brooklyn,Hurricanes,,Chagrin Valley - Metro,maxpreps,0,,0.2294,46
oh,independence,independence-blue-devils,Independence,Blue Devils,,Chagrin Valley - Metro,maxpreps,0,,0.2397,46
oh,garfield-heights,trinity-trojans,Trinity,Trojans,,Chagrin Valley - Metro,maxpreps,0,,0.2104,44
oh,beachwood,beachwood-bison,Beachwood,Bison,,Chagrin Valley - Metro,maxpreps,0,,0.1013,34
oh,chagrin-falls,chagrin-falls-tigers,Chagrin Falls,Tigers,,Chagrin Valley - Valley,maxpreps,0,,0.4275,63
oh,kirtland,kirtland-hornets,Kirtland,Hornets,,Chagrin Valley - Valley,maxpreps,0,,0.4764,68
oh,burton,berkshire-badgers,Berkshire,Badgers,,Chagrin Valley - Valley,maxpreps,0,,0.2194,45
oh,mantua,crestwood-red-devils,Crestwood,Red Devils,,Chagrin Valley - Valley,maxpreps,0,,0.2740,50
oh,rootstown,rootstown-rovers,Rootstown,Rovers,,Chagrin Valley - Valley,maxpreps,0,,0.0994,34
